human_gene	human_ncbi_gene_id	human_ensembl_gene_id	hgnc_id	mouse_gene	mouse_ncbi_gene_id	mgi_marker_id	source
BEND2	139105	ENSG00000177324	HGNC:28509	Bend2	108168453	MGI:3705232	MGI_HOM_ProteinCoding
BEND3	57673	ENSG00000178409	HGNC:23040	Bend3	331623	MGI:2677212	MGI_HOM_ProteinCoding
BEND4	389206	ENSG00000188848	HGNC:23815	Bend4	666938	MGI:3648414	MGI_HOM_ProteinCoding
BEND5	79656	ENSG00000162373	HGNC:25668	Bend5	67621	MGI:1914871	MGI_HOM_ProteinCoding
BEND6	221336	ENSG00000151917	HGNC:20871	Bend6	320705	MGI:2444572	MGI_HOM_ProteinCoding
BEND7	222389	ENSG00000165626	HGNC:23514	Bend7	209645	MGI:2443100	MGI_HOM_ProteinCoding
BEST1	7439	ENSG00000167995	HGNC:12703	Best1	24115	MGI:1346332	MGI_HOM_ProteinCoding
BEST2	54831	ENSG00000039987	HGNC:17107	Best2	212989	MGI:2387588	MGI_HOM_ProteinCoding
BEST3	144453	ENSG00000127325	HGNC:17105	Best3	382427	MGI:3580298	MGI_HOM_ProteinCoding
BET1	10282	ENSG00000105829	HGNC:14562	Bet1	12068	MGI:1343104	MGI_HOM_ProteinCoding
BET1L	51272	ENSG00000177951	HGNC:19348	Bet1l	54399	MGI:1913128	MGI_HOM_ProteinCoding
BEX3	27018	ENSG00000166681	HGNC:13388	Bex3	12070	MGI:1338016	MGI_HOM_ProteinCoding
BFAR	51283	ENSG00000103429	HGNC:17613	Bfar	67118	MGI:1914368	MGI_HOM_ProteinCoding
BFSP1	631	ENSG00000125864	HGNC:1040	Bfsp1	12075	MGI:101770	MGI_HOM_ProteinCoding
BFSP2	8419	ENSG00000170819	HGNC:1041	Bfsp2	107993	MGI:1333828	MGI_HOM_ProteinCoding
BGN	633	ENSG00000182492	HGNC:1044	Bgn	12111	MGI:88158	MGI_HOM_ProteinCoding
BHLHA15	168620	ENSG00000180535	HGNC:22265	Bhlha15	17341	MGI:891976	MGI_HOM_ProteinCoding
BHLHA9	727857	ENSG00000205899	HGNC:35126	Bhlha9	320522	MGI:2444198	MGI_HOM_ProteinCoding
GPRASP3	80823	ENSG00000198908	HGNC:29353	Bhlhb9	70237	MGI:1917487	MGI_HOM_ProteinCoding
BHLHE22	27319	ENSG00000180828	HGNC:11963	Bhlhe22	59058	MGI:1930001	MGI_HOM_ProteinCoding
BHLHE23	128408	ENSG00000125533	HGNC:16093	Bhlhe23	140489	MGI:2153710	MGI_HOM_ProteinCoding
BHLHE40	8553	ENSG00000134107	HGNC:1046	Bhlhe40	20893	MGI:1097714	MGI_HOM_ProteinCoding
BHLHE41	79365	ENSG00000123095	HGNC:16617	Bhlhe41	79362	MGI:1930704	MGI_HOM_ProteinCoding
BHMT	635	ENSG00000145692	HGNC:1047	Bhmt	12116	MGI:1339972	MGI_HOM_ProteinCoding
BHMT2	23743	ENSG00000132840	HGNC:1048	Bhmt2	64918	MGI:1891379	MGI_HOM_ProteinCoding
BICC1	80114	ENSG00000122870	HGNC:19351	Bicc1	83675	MGI:1933388	MGI_HOM_ProteinCoding
BICD1	636	ENSG00000151746	HGNC:1049	Bicd1	12121	MGI:1101760	MGI_HOM_ProteinCoding
BICD2	23299	ENSG00000185963	HGNC:17208	Bicd2	76895	MGI:1924145	MGI_HOM_ProteinCoding
BICDL1	92558	ENSG00000135127	HGNC:28095	Bicdl1	75665	MGI:1922915	MGI_HOM_ProteinCoding
BICDL2	146439	ENSG00000162069	HGNC:33584	Bicdl2	212733	MGI:2388267	MGI_HOM_ProteinCoding
BICRA	29998	ENSG00000063169	HGNC:4332	Bicra	243842	MGI:2154263	MGI_HOM_ProteinCoding
BICRAL	23506	ENSG00000112624	HGNC:21111	Bicral	210982	MGI:2673855	MGI_HOM_ProteinCoding
BID	637	ENSG00000015475	HGNC:1050	Bid	12122	MGI:108093	MGI_HOM_ProteinCoding
BIK	638	ENSG00000100290	HGNC:1051	Bik	12124	MGI:1206591	MGI_HOM_ProteinCoding
BIN1	274	ENSG00000136717	HGNC:1052	Bin1	30948	MGI:108092	MGI_HOM_ProteinCoding
BIN2	51411	ENSG00000110934	HGNC:1053	Bin2	668218	MGI:3611448	MGI_HOM_ProteinCoding
BIN3	55909	ENSG00000147439	HGNC:1054	Bin3	57784	MGI:1929883	MGI_HOM_ProteinCoding
BIRC2	329	ENSG00000110330	HGNC:590	Birc2	11797	MGI:1197009	MGI_HOM_ProteinCoding
BIRC3	330	ENSG00000023445	HGNC:591	Birc3	11796	MGI:1197007	MGI_HOM_ProteinCoding
BIRC5	332	ENSG00000089685	HGNC:593	Birc5	11799	MGI:1203517	MGI_HOM_ProteinCoding
BIRC6	57448	ENSG00000115760	HGNC:13516	Birc6	12211	MGI:1276108	MGI_HOM_ProteinCoding
BIRC7	79444	ENSG00000101197	HGNC:13702	Birc7	329581	MGI:2676458	MGI_HOM_ProteinCoding
BIVM	54841	ENSG00000134897	HGNC:16034	Bivm	246229	MGI:2179809	MGI_HOM_ProteinCoding
BKGD	28970	ENSG00000182919	HGNC:30204	Bkgd	70984	MGI:1918234	MGI_HOM_ProteinCoding
BLCAP	10904	ENSG00000166619	HGNC:1055	Blcap	53619	MGI:1858907	MGI_HOM_ProteinCoding
BLK	640	ENSG00000136573	HGNC:1057	Blk	12143	MGI:88169	MGI_HOM_ProteinCoding
BLM	641	ENSG00000197299	HGNC:1058	Blm	12144	MGI:1328362	MGI_HOM_ProteinCoding
BLMH	642	ENSG00000108578	HGNC:1059	Blmh	104184	MGI:1345186	MGI_HOM_ProteinCoding
BLNK	29760	ENSG00000095585	HGNC:14211	Blnk	17060	MGI:96878	MGI_HOM_ProteinCoding
BLOC1S1	2647	ENSG00000135441	HGNC:4200	Bloc1s1	14533	MGI:1195276	MGI_HOM_ProteinCoding
BLOC1S2	282991	ENSG00000196072	HGNC:20984	Bloc1s2	73689	MGI:1920939	MGI_HOM_ProteinCoding
BLOC1S3	388552	ENSG00000189114	HGNC:20914	Bloc1s3	232946	MGI:2678952	MGI_HOM_ProteinCoding
BLOC1S4	55330	ENSG00000186222	HGNC:24206	Bloc1s4	117197	MGI:1929230	MGI_HOM_ProteinCoding
BLOC1S5	63915	ENSG00000188428	HGNC:18561	Bloc1s5	17828	MGI:2178598	MGI_HOM_ProteinCoding
BLOC1S6	26258	ENSG00000104164	HGNC:8549	Bloc1s6	18457	MGI:1927580	MGI_HOM_ProteinCoding
BLTP1	84162	ENSG00000138688	HGNC:26953	Bltp1	229227	MGI:2444631	MGI_HOM_ProteinCoding
BLTP2	9703	ENSG00000007202	HGNC:28960	Bltp2	72503	MGI:1919753	MGI_HOM_ProteinCoding
BLTP3A	54887	ENSG00000065060	HGNC:21216	Bltp3a	224648	MGI:3041238	MGI_HOM_ProteinCoding
BLTP3B	23074	ENSG00000111647	HGNC:29102	Bltp3b	75089	MGI:2442888	MGI_HOM_ProteinCoding
BLVRA	644	ENSG00000106605	HGNC:1062	Blvra	109778	MGI:88170	MGI_HOM_ProteinCoding
BLVRB	645	ENSG00000090013	HGNC:1063	Blvrb	233016	MGI:2385271	MGI_HOM_ProteinCoding
BLZF1	8548	ENSG00000117475	HGNC:1065	Blzf1	66352	MGI:1201607	MGI_HOM_ProteinCoding
BMAL1	406	ENSG00000133794	HGNC:701	Bmal1	11865	MGI:1096381	MGI_HOM_ProteinCoding
BMAL2	56938	ENSG00000029153	HGNC:18984	Bmal2	272322	MGI:2684845	MGI_HOM_ProteinCoding
BMERB1	89927	ENSG00000166780	HGNC:19213	Bmerb1	67254	MGI:1914504	MGI_HOM_ProteinCoding
BMF	90427	ENSG00000104081	HGNC:24132	Bmf	171543	MGI:2176433	MGI_HOM_ProteinCoding
BMP1	649	ENSG00000168487	HGNC:1067	Bmp1	12153	MGI:88176	MGI_HOM_ProteinCoding
BMP10	27302	ENSG00000163217	HGNC:20869	Bmp10	12154	MGI:1338820	MGI_HOM_ProteinCoding
BMP15	9210	ENSG00000130385	HGNC:1068	Bmp15	12155	MGI:1316745	MGI_HOM_ProteinCoding
BMP2	650	ENSG00000125845	HGNC:1069	Bmp2	12156	MGI:88177	MGI_HOM_ProteinCoding
BMP2K	55589	ENSG00000138756	HGNC:18041	Bmp2k	140780	MGI:2155456	MGI_HOM_ProteinCoding
BMP3	651	ENSG00000152785	HGNC:1070	Bmp3	110075	MGI:88179	MGI_HOM_ProteinCoding
BMP4	652	ENSG00000125378	HGNC:1071	Bmp4	12159	MGI:88180	MGI_HOM_ProteinCoding
BMP5	653	ENSG00000112175	HGNC:1072	Bmp5	12160	MGI:88181	MGI_HOM_ProteinCoding
BMP6	654	ENSG00000153162	HGNC:1073	Bmp6	12161	MGI:88182	MGI_HOM_ProteinCoding
BMP7	655	ENSG00000101144	HGNC:1074	Bmp7	12162	MGI:103302	MGI_HOM_ProteinCoding
BMPER	168667	ENSG00000164619	HGNC:24154	Bmper	73230	MGI:1920480	MGI_HOM_ProteinCoding
BMPR1A	657	ENSG00000107779	HGNC:1076	Bmpr1a	12166	MGI:1338938	MGI_HOM_ProteinCoding
BMPR1B	658	ENSG00000138696	HGNC:1077	Bmpr1b	12167	MGI:107191	MGI_HOM_ProteinCoding
BMPR2	659	ENSG00000204217	HGNC:1078	Bmpr2	12168	MGI:1095407	MGI_HOM_ProteinCoding
BMS1	9790	ENSG00000165733	HGNC:23505	Bms1	213895	MGI:2446132	MGI_HOM_ProteinCoding
BMX	660	ENSG00000102010	HGNC:1079	Bmx	12169	MGI:1101778	MGI_HOM_ProteinCoding
BNC1	646	ENSG00000169594	HGNC:1081	Bnc1	12173	MGI:1097164	MGI_HOM_ProteinCoding
BNC2	54796	ENSG00000173068	HGNC:30988	Bnc2	242509	MGI:2443805	MGI_HOM_ProteinCoding
BNIP1	662	ENSG00000113734	HGNC:1082	Bnip1	224630	MGI:109328	MGI_HOM_ProteinCoding
BNIP2	663	ENSG00000140299	HGNC:1083	Bnip2	12175	MGI:109327	MGI_HOM_ProteinCoding
BNIP3	664	ENSG00000176171	HGNC:1084	Bnip3	12176	MGI:109326	MGI_HOM_ProteinCoding
BNIP3L	665	ENSG00000104765	HGNC:1085	Bnip3l	12177	MGI:1332659	MGI_HOM_ProteinCoding
BNIP5	389384	ENSG00000189325	HGNC:33769	Bnip5	207819	MGI:1925441	MGI_HOM_ProteinCoding
BNIPL	149428	ENSG00000163141	HGNC:16976	Bnipl	171388	MGI:2384749	MGI_HOM_ProteinCoding
BOC	91653	ENSG00000144857	HGNC:17173	Boc	117606	MGI:2151153	MGI_HOM_ProteinCoding
BOD1L1	259282	ENSG00000038219	HGNC:31792	Bod1l	665775	MGI:2444804	MGI_HOM_ProteinCoding
BOK	666	ENSG00000176720	HGNC:1087	Bok	51800	MGI:1858494	MGI_HOM_ProteinCoding
BOLA1	51027	ENSG00000178096	HGNC:24263	Bola1	69168	MGI:1916418	MGI_HOM_ProteinCoding
BOLA3	388962	ENSG00000163170	HGNC:24415	Bola3	78653	MGI:1925903	MGI_HOM_ProteinCoding
BOLL	66037	ENSG00000152430	HGNC:14273	Boll	75388	MGI:1922638	MGI_HOM_ProteinCoding
BOP1	23246	ENSG00000261236	HGNC:15519	Bop1	12181	MGI:1334460	MGI_HOM_ProteinCoding
BORA	79866	ENSG00000136122	HGNC:24724	Bora	77744	MGI:1924994	MGI_HOM_ProteinCoding
BORCS5	118426	ENSG00000165714	HGNC:17950	Borcs5	67774	MGI:1915024	MGI_HOM_ProteinCoding
BORCS6	54785	ENSG00000196544	HGNC:25939	Borcs6	71923	MGI:1919173	MGI_HOM_ProteinCoding
BORCS7	119032	ENSG00000166275	HGNC:23516	Borcs7	66439	MGI:1913689	MGI_HOM_ProteinCoding
BORCS8	729991	ENSG00000254901	HGNC:37247	Borcs8	72368	MGI:1919618	MGI_HOM_ProteinCoding
BPGM	669	ENSG00000172331	HGNC:1093	Bpgm	12183	MGI:1098242	MGI_HOM_ProteinCoding
BPHL	670	ENSG00000137274	HGNC:1094	Bphl	68021	MGI:1915271	MGI_HOM_ProteinCoding
BPI	671	ENSG00000101425	HGNC:1095	Bpi	329547	MGI:3045315	MGI_HOM_ProteinCoding
BPIFA2	140683	ENSG00000131050	HGNC:16203	Bpifa2	19194	MGI:97787	MGI_HOM_ProteinCoding
BPIFA3	128861	ENSG00000131059	HGNC:16204	Bpifa3	73388	MGI:1920638	MGI_HOM_ProteinCoding
BPIFB1	92747	ENSG00000125999	HGNC:16108	Bpifb1	228801	MGI:2137431	MGI_HOM_ProteinCoding
BPIFB2	80341	ENSG00000078898	HGNC:16177	Bpifb2	66557	MGI:1913807	MGI_HOM_ProteinCoding
BPIFB3	359710	ENSG00000186190	HGNC:16178	Bpifb3	378700	MGI:2675077	MGI_HOM_ProteinCoding
BPIFB4	149954	ENSG00000186191	HGNC:16179	Bpifb4	381399	MGI:2685852	MGI_HOM_ProteinCoding
BPIFB5P	100505383	ENSG00000233146	HGNC:42177	Bpifb5	228802	MGI:2385160	MGI_HOM_ProteinCoding
BPIFB6	128859	ENSG00000167104	HGNC:16504	Bpifb6	228796	MGI:2684965	MGI_HOM_ProteinCoding
BPIFB9P	402016	ENSG00000125997	HGNC:16109	Bpifb9a	71425	MGI:3767993	MGI_HOM_ProteinCoding
BPIFC	254240	ENSG00000184459	HGNC:16503	Bpifc	270757	MGI:3026884	MGI_HOM_ProteinCoding
BPNT1	10380	ENSG00000162813	HGNC:1096	Bpnt1	23827	MGI:1338800	MGI_HOM_ProteinCoding
BPNT2	54928	ENSG00000104331	HGNC:26019	Bpnt2	242291	MGI:1915720	MGI_HOM_ProteinCoding
BPTF	2186	ENSG00000171634	HGNC:3581	Bptf	207165	MGI:2444008	MGI_HOM_ProteinCoding
BRAF	673	ENSG00000157764	HGNC:1097	Braf	109880	MGI:88190	MGI_HOM_ProteinCoding
BRAP	8315	ENSG00000089234	HGNC:1099	Brap	72399	MGI:1919649	MGI_HOM_ProteinCoding
BRAT1	221927	ENSG00000106009	HGNC:21701	Brat1	231841	MGI:1891679	MGI_HOM_ProteinCoding
BRCA1	672	ENSG00000012048	HGNC:1100	Brca1	12189	MGI:104537	MGI_HOM_ProteinCoding
BRCA2	675	ENSG00000139618	HGNC:1101	Brca2	12190	MGI:109337	MGI_HOM_ProteinCoding
BRD1	23774	ENSG00000100425	HGNC:1102	Brd1	223770	MGI:1924161	MGI_HOM_ProteinCoding
BRD10	158358	ENSG00000183354	HGNC:23378	Brd10	240613	MGI:2444398	MGI_HOM_ProteinCoding
BRD2	6046	ENSG00000204256	HGNC:1103	Brd2	14312	MGI:99495	MGI_HOM_ProteinCoding
BRD3	8019	ENSG00000169925	HGNC:1104	Brd3	67382	MGI:1914632	MGI_HOM_ProteinCoding
BRD3OS	266655	ENSG00000235106	HGNC:24742	Brd3os	100504116	MGI:106557	MGI_HOM_ProteinCoding
BRD4	23476	ENSG00000141867	HGNC:13575	Brd4	57261	MGI:1888520	MGI_HOM_ProteinCoding
BRD7	29117	ENSG00000166164	HGNC:14310	Brd7	26992	MGI:1349766	MGI_HOM_ProteinCoding
BRD8	10902	ENSG00000112983	HGNC:19874	Brd8	78656	MGI:1925906	MGI_HOM_ProteinCoding
BRD9	65980	ENSG00000028310	HGNC:25818	Brd9	105246	MGI:2145317	MGI_HOM_ProteinCoding
BRDT	676	ENSG00000137948	HGNC:1105	Brdt	114642	MGI:1891374	MGI_HOM_ProteinCoding
BRF1	2972	ENSG00000185024	HGNC:11551	Brf1	72308	MGI:1919558	MGI_HOM_ProteinCoding
BRF2	55290	ENSG00000104221	HGNC:17298	Brf2	66653	MGI:1913903	MGI_HOM_ProteinCoding
BRI3	25798	ENSG00000164713	HGNC:1109	Bri3	55950	MGI:1933174	MGI_HOM_ProteinCoding
BRI3BP	140707	ENSG00000184992	HGNC:14251	Bri3bp	76809	MGI:1924059	MGI_HOM_ProteinCoding
BRICD5	283870	ENSG00000182685	HGNC:28309	Bricd5	319259	MGI:2441766	MGI_HOM_ProteinCoding
BRINP1	1620	ENSG00000078725	HGNC:2687	Brinp1	56710	MGI:1928478	MGI_HOM_ProteinCoding
BRINP2	57795	ENSG00000198797	HGNC:13746	Brinp2	240843	MGI:2443333	MGI_HOM_ProteinCoding
BRINP3	339479	ENSG00000162670	HGNC:22393	Brinp3	215378	MGI:2443035	MGI_HOM_ProteinCoding
BRIP1	83990	ENSG00000136492	HGNC:20473	Brip1	237911	MGI:2442836	MGI_HOM_ProteinCoding
BRIX1	55299	ENSG00000113460	HGNC:24170	Brix1	67832	MGI:1915082	MGI_HOM_ProteinCoding
BRK1	55845	ENSG00000254999	HGNC:23057	Brk1	101314	MGI:1915406	MGI_HOM_ProteinCoding
BRME1	79173	ENSG00000132016	HGNC:28153	Brme1	74666	MGI:1921916	MGI_HOM_ProteinCoding
BRMS1	25855	ENSG00000174744	HGNC:17262	Brms1	107392	MGI:2388804	MGI_HOM_ProteinCoding
BRMS1L	84312	ENSG00000100916	HGNC:20512	Brms1l	52592	MGI:1196337	MGI_HOM_ProteinCoding
BROX	148362	ENSG00000162819	HGNC:26512	Brox	71678	MGI:1918928	MGI_HOM_ProteinCoding
BRPF1	7862	ENSG00000156983	HGNC:14255	Brpf1	78783	MGI:1926033	MGI_HOM_ProteinCoding
BRPF3	27154	ENSG00000096070	HGNC:14256	Brpf3	268936	MGI:2146836	MGI_HOM_ProteinCoding
BRS3	680	ENSG00000102239	HGNC:1113	Brs3	12209	MGI:1100501	MGI_HOM_ProteinCoding
BRSK1	84446	ENSG00000160469	HGNC:18994	Brsk1	381979	MGI:2685946	MGI_HOM_ProteinCoding
BRSK2	9024	ENSG00000174672	HGNC:11405	Brsk2	75770	MGI:1923020	MGI_HOM_ProteinCoding
BRWD1	54014	ENSG00000185658	HGNC:12760	Brwd1	93871	MGI:1890651	MGI_HOM_ProteinCoding
BRWD3	254065	ENSG00000165288	HGNC:17342	Brwd3	382236	MGI:3029414	MGI_HOM_ProteinCoding
BSCL2	26580	ENSG00000168000	HGNC:15832	Bscl2	14705	MGI:1298392	MGI_HOM_ProteinCoding
BSDC1	55108	ENSG00000160058	HGNC:25501	Bsdc1	100383	MGI:1913466	MGI_HOM_ProteinCoding
BSG	682	ENSG00000172270	HGNC:1116	Bsg	12215	MGI:88208	MGI_HOM_ProteinCoding
BSN	8927	ENSG00000164061	HGNC:1117	Bsn	12217	MGI:1277955	MGI_HOM_ProteinCoding
BSND	7809	ENSG00000162399	HGNC:16512	Bsnd	140475	MGI:2153465	MGI_HOM_ProteinCoding
BSPH1	100131137	ENSG00000188334	HGNC:33906	Bsph1	330470	MGI:2685613	MGI_HOM_ProteinCoding
BSPRY	54836	ENSG00000119411	HGNC:18232	Bspry	192120	MGI:2177191	MGI_HOM_ProteinCoding
BST1	683	ENSG00000109743	HGNC:1118	Bst1	12182	MGI:105370	MGI_HOM_ProteinCoding
BST2	684	ENSG00000130303	HGNC:1119	Bst2	69550	MGI:1916800	MGI_HOM_ProteinCoding
BSX	390259	ENSG00000188909	HGNC:20450	Bsx	244813	MGI:2669849	MGI_HOM_ProteinCoding
BTAF1	9044	ENSG00000095564	HGNC:17307	Btaf1	107182	MGI:2147538	MGI_HOM_ProteinCoding
BTBD1	53339	ENSG00000064726	HGNC:1120	Btbd1	83962	MGI:1933765	MGI_HOM_ProteinCoding
BTBD10	84280	ENSG00000148925	HGNC:21445	Btbd10	68815	MGI:1916065	MGI_HOM_ProteinCoding
BTBD16	118663	ENSG00000138152	HGNC:26340	Btbd16	330660	MGI:3045247	MGI_HOM_ProteinCoding
BTBD17	388419	ENSG00000204347	HGNC:33758	Btbd17	72014	MGI:1919264	MGI_HOM_ProteinCoding
BTBD18	643376	ENSG00000233436	HGNC:37214	Btbd18	100270744	MGI:3650217	MGI_HOM_ProteinCoding
BTBD19	149478	ENSG00000222009	HGNC:27145	Btbd19	78611	MGI:1925861	MGI_HOM_ProteinCoding
BTBD2	55643	ENSG00000133243	HGNC:15504	Btbd2	208198	MGI:1933831	MGI_HOM_ProteinCoding
BTBD3	22903	ENSG00000132640	HGNC:15854	Btbd3	228662	MGI:2385155	MGI_HOM_ProteinCoding
BTBD6	90135	ENSG00000184887	HGNC:19897	Btbd6	399566	MGI:3026623	MGI_HOM_ProteinCoding
BTBD7	55727	ENSG00000011114	HGNC:18269	Btbd7	238386	MGI:1917858	MGI_HOM_ProteinCoding
BTBD8	284697	ENSG00000189195	HGNC:21019	Btbd8	100503185	MGI:3646208	MGI_HOM_ProteinCoding
BTBD9	114781	ENSG00000183826	HGNC:21228	Btbd9	224671	MGI:1916625	MGI_HOM_ProteinCoding
BTC	685	ENSG00000174808	HGNC:1121	Btc	12223	MGI:99439	MGI_HOM_ProteinCoding
BTD	686	ENSG00000169814	HGNC:1122	Btd	26363	MGI:1347001	MGI_HOM_ProteinCoding
BTF3	689	ENSG00000145741	HGNC:1125	Btf3	218490	MGI:1202875	MGI_HOM_ProteinCoding
BTF3L4	91408	ENSG00000134717	HGNC:30547	Btf3l4	70533	MGI:1915312	MGI_HOM_ProteinCoding
BTG1	694	ENSG00000133639	HGNC:1130	Btg1	12226	MGI:88215	MGI_HOM_ProteinCoding
BTG2	7832	ENSG00000159388	HGNC:1131	Btg2	12227	MGI:108384	MGI_HOM_ProteinCoding
BTG3	10950	ENSG00000154640	HGNC:1132	Btg3	12228	MGI:109532	MGI_HOM_ProteinCoding
BTG4	54766	ENSG00000137707	HGNC:13862	Btg4	56057	MGI:1860140	MGI_HOM_ProteinCoding
BTK	695	ENSG00000010671	HGNC:1133	Btk	12229	MGI:88216	MGI_HOM_ProteinCoding
BTLA	151888	ENSG00000186265	HGNC:21087	Btla	208154	MGI:2658978	MGI_HOM_ProteinCoding
BTN1A1	696	ENSG00000124557	HGNC:1135	Btn1a1	12231	MGI:103118	MGI_HOM_ProteinCoding
BTNL10P	100129094	ENSG00000215811	HGNC:42540	Btnl10	192194	MGI:2182073	MGI_HOM_ProteinCoding
BTNL12P	100130701	ENSG00000240661	HGNC:52935	Btnl12	102639802	MGI:5595187	MGI_HOM_ProteinCoding
BTNL2	56244	ENSG00000204290	HGNC:1142	Btnl2	547431	MGI:1859549	MGI_HOM_ProteinCoding
BTNL9	153579	ENSG00000165810	HGNC:24176	Btnl9	237754	MGI:2442439	MGI_HOM_ProteinCoding
BTRC	8945	ENSG00000166167	HGNC:1144	Btrc	12234	MGI:1338871	MGI_HOM_ProteinCoding
BUB1	699	ENSG00000169679	HGNC:1148	Bub1	12235	MGI:1100510	MGI_HOM_ProteinCoding
BUB1B	701	ENSG00000156970	HGNC:1149	Bub1b	12236	MGI:1333889	MGI_HOM_ProteinCoding
BUB3	9184	ENSG00000154473	HGNC:1151	Bub3	12237	MGI:1343463	MGI_HOM_ProteinCoding
BUD13	84811	ENSG00000137656	HGNC:28199	Bud13	215051	MGI:2443443	MGI_HOM_ProteinCoding
BUD23	114049	ENSG00000071462	HGNC:16405	Bud23	66138	MGI:1913388	MGI_HOM_ProteinCoding
BUD31	8896	ENSG00000106245	HGNC:29629	Bud31	231889	MGI:2141291	MGI_HOM_ProteinCoding
BYSL	705	ENSG00000112578	HGNC:1157	Bysl	53414	MGI:1858419	MGI_HOM_ProteinCoding
BZW1	9689	ENSG00000082153	HGNC:18380	Bzw1	66882	MGI:1914132	MGI_HOM_ProteinCoding
BZW2	28969	ENSG00000136261	HGNC:18808	Bzw2	66912	MGI:1914162	MGI_HOM_ProteinCoding
C8orf82	414919	ENSG00000213563	HGNC:33826	C030006K11Rik	223665	MGI:1925941	MGI_HOM_ProteinCoding
C1orf115	79762	ENSG00000162817	HGNC:25873	C130074G19Rik	226777	MGI:2444831	MGI_HOM_ProteinCoding
C1D	10438	ENSG00000197223	HGNC:29911	C1d	57316	MGI:1927354	MGI_HOM_ProteinCoding
C1GALT1	56913	ENSG00000106392	HGNC:24337	C1galt1	94192	MGI:2151071	MGI_HOM_ProteinCoding
C1GALT1C1	29071	ENSG00000171155	HGNC:24338	C1galt1c1	59048	MGI:1913493	MGI_HOM_ProteinCoding
C1QA	712	ENSG00000173372	HGNC:1241	C1qa	12259	MGI:88223	MGI_HOM_ProteinCoding
C1QB	713	ENSG00000173369	HGNC:1242	C1qb	12260	MGI:88224	MGI_HOM_ProteinCoding
C1QBP	708	ENSG00000108561	HGNC:1243	C1qbp	12261	MGI:1194505	MGI_HOM_ProteinCoding
C1QC	714	ENSG00000159189	HGNC:1245	C1qc	12262	MGI:88225	MGI_HOM_ProteinCoding
C1QL1	10882	ENSG00000131094	HGNC:24182	C1ql1	23829	MGI:1344400	MGI_HOM_ProteinCoding
C1QL2	165257	ENSG00000144119	HGNC:24181	C1ql2	226359	MGI:3032521	MGI_HOM_ProteinCoding
C1QL3	389941	ENSG00000165985	HGNC:19359	C1ql3	227580	MGI:2387350	MGI_HOM_ProteinCoding
C1QL4	338761	ENSG00000186897	HGNC:31416	C1ql4	239659	MGI:3579909	MGI_HOM_ProteinCoding
C1QTNF1	114897	ENSG00000173918	HGNC:14324	C1qtnf1	56745	MGI:1919254	MGI_HOM_ProteinCoding
C1QTNF12	388581	ENSG00000184163	HGNC:32308	C1qtnf12	67389	MGI:1914639	MGI_HOM_ProteinCoding
C1QTNF2	114898	ENSG00000145861	HGNC:14325	C1qtnf2	69183	MGI:1916433	MGI_HOM_ProteinCoding
C1QTNF3	114899	ENSG00000082196	HGNC:14326	C1qtnf3	81799	MGI:1932136	MGI_HOM_ProteinCoding
C1QTNF4	114900	ENSG00000172247	HGNC:14346	C1qtnf4	67445	MGI:1914695	MGI_HOM_ProteinCoding
C1QTNF6	114904	ENSG00000133466	HGNC:14343	C1qtnf6	72709	MGI:1919959	MGI_HOM_ProteinCoding
C1QTNF7	114905	ENSG00000163145	HGNC:14342	C1qtnf7	109323	MGI:1925911	MGI_HOM_ProteinCoding
C1RL	51279	ENSG00000139178	HGNC:21265	C1rl	232371	MGI:2660692	MGI_HOM_ProteinCoding
C2	717	ENSG00000166278	HGNC:1248	C2	12263	MGI:88226	MGI_HOM_ProteinCoding
C2CD2	25966	ENSG00000157617	HGNC:1266	C2cd2	207781	MGI:1891883	MGI_HOM_ProteinCoding
C2CD2L	9854	ENSG00000172375	HGNC:29000	C2cd2l	71764	MGI:1919014	MGI_HOM_ProteinCoding
C2CD3	26005	ENSG00000168014	HGNC:24564	C2cd3	277939	MGI:2142166	MGI_HOM_ProteinCoding
C2CD4A	145741	ENSG00000198535	HGNC:33627	C2cd4a	244911	MGI:3645763	MGI_HOM_ProteinCoding
C2CD4B	388125	ENSG00000205502	HGNC:33628	C2cd4b	75697	MGI:1922947	MGI_HOM_ProteinCoding
C2CD4C	126567	ENSG00000183186	HGNC:29417	C2cd4c	237397	MGI:2685084	MGI_HOM_ProteinCoding
C2CD4D	100191040	ENSG00000225556	HGNC:37210	C2cd4d	271944	MGI:2685505	MGI_HOM_ProteinCoding
C2CD5	9847	ENSG00000111731	HGNC:29062	C2cd5	74741	MGI:1921991	MGI_HOM_ProteinCoding
C3	718	ENSG00000125730	HGNC:1318	C3	12266	MGI:88227	MGI_HOM_ProteinCoding
C5orf63	401207	ENSG00000164241	HGNC:40051	C330018D20Rik	77422	MGI:1924672	MGI_HOM_ProteinCoding
C3AR1	719	ENSG00000171860	HGNC:1319	C3ar1	12267	MGI:1097680	MGI_HOM_ProteinCoding
C5AR1	728	ENSG00000197405	HGNC:1338	C5ar1	12273	MGI:88232	MGI_HOM_ProteinCoding
C5AR2	27202	ENSG00000134830	HGNC:4527	C5ar2	319430	MGI:2442013	MGI_HOM_ProteinCoding
C6	729	ENSG00000039537	HGNC:1339	C6	12274	MGI:88233	MGI_HOM_ProteinCoding
